Image Path,Top Prediction,Good,Blurred,Empty
/home/myra/DeepLearning/dataset_orig/good/001003000_1.jpeg,BLURRED,1.2375681990306475e-07,0.9999998807907104,9.934678080192327e-12
/home/myra/DeepLearning/dataset_orig/good/001003000_2.jpeg,GOOD,1.0,2.6323075394856245e-31,0.0
/home/myra/DeepLearning/dataset_orig/good/001003000_3.jpeg,BLURRED,4.414511291239709e-12,1.0,4.760452342588348e-19
/home/myra/DeepLearning/dataset_orig/good/001003000_4.jpeg,GOOD,1.0,6.361307431130441e-17,0.0
/home/myra/DeepLearning/dataset_orig/good/001003000_5.jpeg,BLURRED,9.467555628361879e-07,0.9999990463256836,2.9554311775648046e-10
/home/myra/DeepLearning/dataset_orig/good/001003000_6.jpeg,GOOD,1.0,0.0,0.0
/home/myra/DeepLearning/dataset_orig/good/001003000_7.jpeg,BLURRED,0.0,1.0,0.0
/home/myra/DeepLearning/dataset_orig/good/001003000_8.jpeg,GOOD,1.0,1.5200594793681397e-33,0.0
/home/myra/DeepLearning/dataset_orig/good/001005000_1.jpeg,BLURRED,0.0,1.0,0.0
/home/myra/DeepLearning/dataset_orig/good/001005000_2.jpeg,GOOD,1.0,5.1977151104300575e-17,0.0
/home/myra/DeepLearning/dataset_orig/good/001005000_3.jpeg,BLURRED,4.198976810698696e-08,1.0,2.2610769593450764e-12
/home/myra/DeepLearning/dataset_orig/good/001005000_4.jpeg,GOOD,1.0,2.0326792252818583e-22,0.0
/home/myra/DeepLearning/dataset_orig/good/001005000_5.jpeg,BLURRED,4.456202162828049e-08,1.0,1.6012563454001483e-12
/home/myra/DeepLearning/dataset_orig/good/001005000_6.jpeg,GOOD,1.0,0.0,0.0
/home/myra/DeepLearning/dataset_orig/good/001005000_7.jpeg,BLURRED,0.005407157354056835,0.9938639402389526,0.0007289061322808266
/home/myra/DeepLearning/dataset_orig/good/001005000_8.jpeg,GOOD,0.9974567294120789,0.0025431092362850904,6.806906327483375e-08
/home/myra/DeepLearning/dataset_orig/good/001006000_1.jpeg,BLURRED,7.774470986987581e-07,0.9999991655349731,1.661110138329036e-10
/home/myra/DeepLearning/dataset_orig/good/001006000_2.jpeg,GOOD,1.0,1.7477323358873262e-30,0.0
/home/myra/DeepLearning/dataset_orig/good/001006000_3.jpeg,BLURRED,2.162245209547109e-06,0.9999978542327881,8.443013510550657e-10
/home/myra/DeepLearning/dataset_orig/good/001006000_4.jpeg,GOOD,1.0,0.0,0.0
/home/myra/DeepLearning/dataset_orig/good/001006000_5.jpeg,BLURRED,3.281166129909252e-07,0.9999996423721313,4.185855134730687e-11
/home/myra/DeepLearning/dataset_orig/good/001006000_6.jpeg,GOOD,1.0,4.121567720039568e-29,0.0
/home/myra/DeepLearning/dataset_orig/good/001006000_7.jpeg,BLURRED,4.7205769959646204e-08,1.0,1.7617584908286021e-12
/home/myra/DeepLearning/dataset_orig/good/001006000_8.jpeg,GOOD,1.0,1.5557225308337632e-23,0.0
/home/myra/DeepLearning/dataset_orig/good/001007000_1.jpeg,BLURRED,1.0647945600794628e-06,0.999998927116394,2.750165095655177e-10
/home/myra/DeepLearning/dataset_orig/good/001007000_2.jpeg,GOOD,1.0,2.5437639550318636e-08,8.669625716440584e-20
/home/myra/DeepLearning/dataset_orig/good/001007000_3.jpeg,BLURRED,0.00020839646458625793,0.999790608882904,9.952507298294222e-07
/home/myra/DeepLearning/dataset_orig/good/001007000_4.jpeg,GOOD,1.0,0.0,0.0
/home/myra/DeepLearning/dataset_orig/good/001007000_5.jpeg,BLURRED,1.8546174942457583e-06,0.9999980926513672,1.0927198035304286e-09
/home/myra/DeepLearning/dataset_orig/good/001007000_6.jpeg,GOOD,1.0,1.4917072022058164e-08,2.4368503354503513e-20
/home/myra/DeepLearning/dataset_orig/good/001007000_7.jpeg,BLURRED,1.0974413555686624e-07,0.9999998807907104,9.048302038183742e-12
/home/myra/DeepLearning/dataset_orig/good/001007000_8.jpeg,GOOD,1.0,1.2376242489751121e-27,0.0
/home/myra/DeepLearning/dataset_orig/good/001008000_1.jpeg,BLURRED,3.806172230724769e-07,0.9999996423721313,5.302509820115375e-11
/home/myra/DeepLearning/dataset_orig/good/001008000_2.jpeg,GOOD,1.0,1.4537897592646605e-27,0.0
/home/myra/DeepLearning/dataset_orig/good/001008000_3.jpeg,BLURRED,1.6963391317403875e-05,0.9999830722808838,2.1462362553847925e-08
/home/myra/DeepLearning/dataset_orig/good/001008000_4.jpeg,GOOD,1.0,2.58440012615854e-30,0.0
/home/myra/DeepLearning/dataset_orig/good/001008000_5.jpeg,BLURRED,2.593856152088847e-08,1.0,6.523886791030831e-13
/home/myra/DeepLearning/dataset_orig/good/001008000_6.jpeg,GOOD,1.0,2.2937530729629245e-29,0.0
/home/myra/DeepLearning/dataset_orig/good/001008000_7.jpeg,BLURRED,6.407367891370086e-06,0.9999935626983643,4.747750637079662e-09
/home/myra/DeepLearning/dataset_orig/good/001008000_8.jpeg,GOOD,1.0,2.5464371345640732e-17,0.0
/home/myra/DeepLearning/dataset_orig/good/001010000_1.jpeg,BLURRED,4.7275969450311095e-07,0.9999995231628418,1.431415264097069e-10
/home/myra/DeepLearning/dataset_orig/good/001010000_2.jpeg,GOOD,1.0,2.1839172248405703e-08,6.030618416954668e-20
/home/myra/DeepLearning/dataset_orig/good/001010000_3.jpeg,BLURRED,1.6246238487838127e-07,0.9999998807907104,2.0866013777931514e-11
/home/myra/DeepLearning/dataset_orig/good/001010000_4.jpeg,GOOD,0.9999914169311523,8.557649380236398e-06,9.214470278375714e-14
/home/myra/DeepLearning/dataset_orig/good/001010000_5.jpeg,BLURRED,1.6606132646757032e-07,0.9999998807907104,1.64471665453636e-11
/home/myra/DeepLearning/dataset_orig/good/001010000_6.jpeg,GOOD,1.0,6.102059736418955e-26,0.0
/home/myra/DeepLearning/dataset_orig/good/001010000_7.jpeg,BLURRED,4.6793414298917924e-07,0.9999995231628418,1.2822144734858654e-10
/home/myra/DeepLearning/dataset_orig/good/001010000_8.jpeg,GOOD,1.0,5.981465238635042e-23,0.0
/home/myra/DeepLearning/dataset_orig/good/001013000_1.jpeg,BLURRED,2.1679225881143793e-07,0.9999997615814209,3.163038234110793e-11
/home/myra/DeepLearning/dataset_orig/good/001013000_2.jpeg,GOOD,1.0,0.0,0.0
/home/myra/DeepLearning/dataset_orig/good/001013000_3.jpeg,BLURRED,0.0005167396157048643,0.9994792342185974,4.072905085195089e-06
/home/myra/DeepLearning/dataset_orig/good/001013000_4.jpeg,GOOD,0.9995357990264893,0.00046423650928772986,1.2290318762708807e-09
/home/myra/DeepLearning/dataset_orig/good/001013000_5.jpeg,BLURRED,2.706968916754704e-05,0.999972939491272,4.3932264048862635e-08
/home/myra/DeepLearning/dataset_orig/good/001013000_6.jpeg,GOOD,1.0,4.1461775194710667e-32,0.0
/home/myra/DeepLearning/dataset_orig/good/001013000_7.jpeg,BLURRED,4.233116612795129e-07,0.9999995231628418,1.334699156751995e-10
/home/myra/DeepLearning/dataset_orig/good/001013000_8.jpeg,GOOD,0.9999974966049194,2.478657052051858e-06,4.762321196709373e-15
/home/myra/DeepLearning/dataset_orig/good/001015000_1.jpeg,BLURRED,1.906171434029602e-07,0.9999997615814209,1.744684258175866e-11
/home/myra/DeepLearning/dataset_orig/good/001015000_2.jpeg,GOOD,1.0,2.627592161446736e-31,0.0
/home/myra/DeepLearning/dataset_orig/good/001015000_3.jpeg,BLURRED,3.07055888697505e-05,0.9999692440032959,5.3302311897596155e-08
/home/myra/DeepLearning/dataset_orig/good/001015000_4.jpeg,GOOD,0.9994134902954102,0.0005865056300535798,2.137962473724997e-09
/home/myra/DeepLearning/dataset_orig/good/001015000_7.jpeg,BLURRED,0.0015933769755065441,0.9983850717544556,2.1521278540603817e-05
/home/myra/DeepLearning/dataset_orig/good/001015000_8.jpeg,GOOD,1.0,1.1481799601269873e-26,0.0
